,title,url,rating,review_count,price
0,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0747095382MMKDOLO3CO&url=%2FSoundcore-Cancelling-Headphones-Wireless-Bluetooth%2Fdp%2FB07NM3RSRQ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-1-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_atf,4.4 out of 5 stars,"4,233",$59.99
1,"Vogek On Ear Headphones with Mic, Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A035250319WRT3UIRQJSU&url=%2FHeadphones-Lightweight-Portable-Fold-Flat-Microphone-Black%2Fdp%2FB07MCCJ6VY%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-2-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_atf,4.5 out of 5 stars,"6,523",$12.99
2,Sony MDRZX110/BLK  ZX Series Stereo Headphones (Black),https://www.amazon.com/Sony-MDRZX110-BLK-Stereo-Headphones/dp/B00NJ2M33I/ref=sr_1_3?dchild=1&keywords=Headphones&qid=1594136411&sr=8-3,4.3 out of 5 stars,"16,585",
3,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/dp/B019U00D7K/ref=sr_1_4?dchild=1&keywords=Headphones&qid=1594136411&sr=8-4,4.4 out of 5 stars,"30,895",$69.99
4,"3 Packs Earbud Headphones with Remote & Microphone, SourceTon In Ear Earphone Stereo Sound Noise Isolating Tangle Free for iOS and Android Smartphones, Laptops, Gaming, Fits All 3.5mm Interface Device",https://www.amazon.com/Headphones-Microphone-SourceTon-Isolating-Smartphones/dp/B077ZYLMZV/ref=sr_1_5?dchild=1&keywords=Headphones&qid=1594136411&sr=8-5,4.1 out of 5 stars,"3,043",$9.99
5,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),https://www.amazon.com/Kids-Headphones-products-Tangle-Free-Ear/dp/B0746RBK2M/ref=sr_1_6?dchild=1&keywords=Headphones&qid=1594136411&sr=8-6,4.6 out of 5 stars,"6,017",$14.99
6,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Space Black)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03333881O1NWN402UNJ2&url=%2FLORELEI-X6-Headphones-Microphone-Lightweight%2Fdp%2FB083P1HG9S%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-7-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_mtf,4.3 out of 5 stars,124,$16.99
7,"Mpow 059 Bluetooth Headphones Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/Built-in Mic Wired Mode, for   Online Class, Home Office, PC/Cell Phones/TV",https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/dp/B01NAJGGA2/ref=sr_1_8?dchild=1&keywords=Headphones&qid=1594136411&sr=8-8,4.4 out of 5 stars,"34,743",$30.99
8,"TaoTronics Hybrid Active Noise Cancelling Headphones Bluetooth Headphones Over Ear with 35H Playtime, Wireless Headphones Soft Protein Earpads Built-in Mic for Travel, Home Office Black",https://www.amazon.com/TaoTronics-Cancelling-Headphones-Bluetooth-Playtime/dp/B084MKNGSQ/ref=sr_1_9?dchild=1&keywords=Headphones&qid=1594136411&sr=8-9,4.8 out of 5 stars,672,$69.98
9,Sony MDR7506 Professional Large Diaphragm Headphone,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E/ref=sr_1_10?dchild=1&keywords=Headphones&qid=1594136411&sr=8-10,4.7 out of 5 stars,"8,329",$94.99
10,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=sr_1_11?dchild=1&keywords=Headphones&qid=1594136411&sr=8-11,4.7 out of 5 stars,"5,974",$15.99
11,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone- Rose Gold",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05180921HQ8Z36VOHROK&url=%2Fdp%2FB07ZBJPYRK%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-12-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_mtf,4.3 out of 5 stars,698,$23.99
12,Sennheiser HD280PRO Headphone (new model),https://www.amazon.com/Sennheiser-HD280PRO-Headphone-new-model/dp/B00IT0IHOY/ref=sr_1_13?dchild=1&keywords=Headphones&qid=1594136411&sr=8-13,4.3 out of 5 stars,"4,649",$79.95
13,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/dp/B07NM3RSRQ/ref=sr_1_14?dchild=1&keywords=Headphones&qid=1594136411&sr=8-14,4.4 out of 5 stars,"4,233",$59.99
14,"Bose Noise Cancelling Wireless Bluetooth Headphones 700, with Alexa Voice Control, Black",https://www.amazon.com/Bose-Cancelling-Wireless-Bluetooth-Headphones/dp/B07Q9MJKBV/ref=sr_1_15?dchild=1&keywords=Headphones&qid=1594136411&sr=8-15,4.2 out of 5 stars,"5,181",$379.00
15,"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120K Dynamic Crystal-Clear Sound, Ergonomic Comfort-Fit, 9mm, Black",https://www.amazon.com/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sr_1_16?dchild=1&keywords=Headphones&qid=1594136411&sr=8-16,4.2 out of 5 stars,"74,032",$9.20
16,"Betron BS10 Noise Isolating Earphones, in Ear Headphones with Microphone and Volume Control, Powerful Bass Sound Includes 3 Different Sized Pairs of Ergonomic Earbuds and Carry Bag, Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08095572RBKNHKIHCCL3&url=%2FBetron-Earphones-Headphones-Ergonomic-Microphone%2Fdp%2FB01MA1MJ6H%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-17-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_mtf,4.3 out of 5 stars,"6,091",$16.79
17,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_18?dchild=1&keywords=Headphones&qid=1594136411&sr=8-18,4.3 out of 5 stars,"41,542",$39.99
18,(2 Pack) Aux Headphones/Earbuds 3.5mm Wired Headphones Noise Isolating with Built-in Microphone & Volume Control Compatible with iPhone 6 SE 5S 4 iPod iPad Samsung/Android MP3,https://www.amazon.com/Headphones-Earbuds-Isolating-Microphone-Compatible/dp/B084MCQHWC/ref=sr_1_19?dchild=1&keywords=Headphones&qid=1594136411&sr=8-19,3.9 out of 5 stars,804,$11.99
19,"Vogek On Ear Headphones with Mic, Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/dp/B07MCCJ6VY/ref=sr_1_20?dchild=1&keywords=Headphones&qid=1594136411&sr=8-20,4.5 out of 5 stars,"6,523",$12.99
20,"Audio-Technica ATH-M20x Professional Studio Monitor Headphones, Black",https://www.amazon.com/Audio-Technica-ATH-M20x-Professional-Monitor-Headphones/dp/B00HVLUR18/ref=sr_1_21?dchild=1&keywords=Headphones&qid=1594136411&sr=8-21,4.5 out of 5 stars,"5,510",$49.00
21,Wireless Earbuds Bluetooth Earbuds Bluetooth Headphones【24Hrs Charging Case】 3D Stereo IPX5 Waterproof Pop-ups Auto Pairing Fast Charging for Earphones airpod Samsung airpods Android,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08846561TDPS91TFGTLO&url=%2FWireless-Bluetooth-Headphones%25E3%2580%259024Hrs-Waterproof-Earphones%2Fdp%2FB088KQ8W7H%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1594136411%26sr%3D8-22-spons%26psc%3D1&qualifier=1594136411&id=8086478799120383&widgetName=sp_btf,5.0 out of 5 stars,2,$39.99
22,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone- Rose Gold",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A05180921HQ8Z36VOHROK&url=%2Fdp%2FB07ZBJPYRK%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-25-spons%26psc%3D1&qualifier=1594136413&id=7180028317567379&widgetName=sp_atf_next,4.3 out of 5 stars,698,$23.99
23,"Active Noise Cancelling Headphones, Boltune Bluetooth 5.0 Over Ear Wireless Headphones with Mic Deep Bass, Comfortable Protein Earpads 30H Playtime for Travel Work TV PC Cellphone",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A09330683PPZM83EBOB9B&url=%2FCancelling-Headphones-Boltune-Bluetooth-Comfortable%2Fdp%2FB07PJK73L8%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-26-spons%26psc%3D1&qualifier=1594136413&id=7180028317567379&widgetName=sp_atf_next,4.6 out of 5 stars,"2,678",$48.94
24,Wireless Earbuds with Immersive Sound True 5.0 Bluetooth in-Ear Headphones with 2000mAh Charging Case Easy-Pairing Stereo Calls/Touch Control/Built-in Microphones/IPX7 Sweatproof/Deep Bass for Sports,https://www.amazon.com/5-0-Bluetooth-Headphones-Case-Easy-Pairing-Microphones-IPX7-Sweatproof/dp/B0876538NH/ref=sr_1_27?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-27,4.8 out of 5 stars,512,$25.99
25,"Rockpapa On Ear Stereo Headphones Earphones for Adults Kids Childs Teens, Adjustable, Heavy Deep Bass for iPhone iPod iPad MacBook Surface MP3 DVD Smartphones Laptop (Black/Green)",https://www.amazon.com/Headphones-Earphones-Isolating-Adjustable-SmartPhones/dp/B018ZICAJ2/ref=sr_1_28?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-28,4.4 out of 5 stars,"3,714",$12.99
26,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone- Rose Gold",https://www.amazon.com/dp/B07ZBJPYRK/ref=sr_1_29?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-29,4.3 out of 5 stars,698,$23.99
27,"Sony MDRZX110NC Noise Cancelling Headphones, Black, medium",https://www.amazon.com/Sony-MDRZX110NC-Noise-Cancelling-Headphones/dp/B00NG57H4S/ref=sr_1_30?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-30,4.0 out of 5 stars,"3,331",$38.00
28,MUNSKT Color Headphones Heavy bass Earphone in Ear Headphones Headphones with Microphone Mobile Phone Earphone Wired Earphone 3.5mm Headphones (Mixed Color 4pack),https://www.amazon.com/MUNSKT-Headphones-Earphone-Microphone-Mobile/dp/B082VKW3W7/ref=sr_1_31?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-31,4.1 out of 5 stars,438,$9.99
29,"Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphone with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, Comfortable Protein Earpads, 30H Playtime for Travel/Work",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Headphone-Comfortable/dp/B0868MDSL5/ref=sr_1_32?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-32,4.9 out of 5 stars,357,$59.98
30,"iLuv TB100 Rose Gold True Wireless Earbuds Cordless in-Ear Bluetooth 5.0 with Hands-Free Call Microphone, IPX6 Waterproof Protection, High-Fidelity Sound; Includes Compact Charging Case & 3 Ear Tips",https://www.amazon.com/Hands-Free-Microphone-Waterproof-Protection-High-Fidelity/dp/B082XGZ455/ref=sr_1_33?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-33,4.2 out of 5 stars,"4,704",$29.99
31,"Wireless Earbuds, Snoky Bluetooth 5.0 Earbuds Deep Bass IPX7 Waterproof Binaural Calls in-Ear Headphones Earphones True Wireless Earbuds with Charging Case Built in Dual Mic for Sports Gym Black",https://www.amazon.com/Snoky-Bluetooth-Waterproof-Headphones-Earphones/dp/B085FZSYJ9/ref=sr_1_34?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-34,4.9 out of 5 stars,288,$29.99
32,"Sony Wireless Headphones WH-CH510: Wireless Bluetooth On-Ear Headset with Mic for phone-call, Black",https://www.amazon.com/Sony-WH-CH510-Wireless-Headphones-WHCH510/dp/B07WSKKYPR/ref=sr_1_35?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-35,4.5 out of 5 stars,"1,338",$38.00
33,"Letscom Bluetooth Headphones, 15Hrs Playtime Wireless 5.0 Earbuds IPX7 Waterproof Sport Running in-Ear Headsets w/Mic Stereo Sound Noise Cancelling for Work Home Office",https://www.amazon.com/Bluetooth-Headphones-Earphones-Waterproof-Cancelling/dp/B07SMFC4NP/ref=sr_1_36?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-36,4.4 out of 5 stars,"5,112",$19.99
34,"Mpow Flame Bluetooth Headphones V5.0 IPX7 Waterproof Wireless headphones, Bass+ HD Stereo Wireless Sport Earbuds, 7-9Hrs Playtime, cVc6.0 Noise Cancelling Mic for Home Workout, Running, Gym Red",https://www.amazon.com/Mpow-Headphones-Waterproof-Cancelling-Microphone/dp/B0753GRNQZ/ref=sr_1_37?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-37,4.3 out of 5 stars,"25,488",$19.99
35,"Bose Noise Cancelling Wireless Bluetooth Headphones 700, with Alexa Voice Control, Black",https://www.amazon.com/Bose-Cancelling-Wireless-Bluetooth-Headphones/dp/B07Q9MJKBV/ref=sr_1_38?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-38,4.2 out of 5 stars,"5,181",$379.00
36,"Vogek On Ear Headphones with Mic, Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A035250319WRT3UIRQJSU&url=%2FHeadphones-Lightweight-Portable-Fold-Flat-Microphone-Black%2Fdp%2FB07MCCJ6VY%2Fref%3Dsr_1_39_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-39-spons%26psc%3D1&qualifier=1594136413&id=7180028317567379&widgetName=sp_mtf,4.5 out of 5 stars,"6,523",$12.99
37,"TaoTronics Hybrid Active Noise Cancelling Headphones Bluetooth Headphones Over Ear with 35H Playtime, Wireless Headphones Soft Protein Earpads Built-in Mic for Travel, Home Office Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A0970843A4L5K71QU223&url=%2FTaoTronics-Cancelling-Headphones-Bluetooth-Playtime%2Fdp%2FB084MKNGSQ%2Fref%3Dsr_1_40_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-40-spons%26psc%3D1&qualifier=1594136413&id=7180028317567379&widgetName=sp_mtf,4.8 out of 5 stars,672,$69.98
38,"Vogek Over Ear Headphones with Mic, Lightweight Portable Foldable Stereo Bass Wired Headphones with 1.5M Tangel Free Cord and Microphone for Cellphone Tablet Laptop Computer- Black",https://www.amazon.com/Headphones-Lightweight-Microphone-Cellphone-Computer/dp/B081JWVRJC/ref=sr_1_41?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-41,4.5 out of 5 stars,150,$15.99
39,"Earbuds, Vogek Tangle-Free Flat Cord Ergonomic in-Ear Headphones with Dynamic Crystal Clear Sound, Earphones with S/M/L Eartips Compatible with Samsung, Android Phone and More (Blue)",https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Earphones-Compatible/dp/B08595B6H5/ref=sr_1_42?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-42,4.4 out of 5 stars,"4,312",$13.99
40,"Mpow Jaws Gen5 Bluetooth Headphones 18H Playtime for Work from Home, V5.0 Wireless Neckband Headphones Online Teaching & Conference, Bluetooth Headset Call Vibrate & CVC6.0 Noise Cancelling Mic, Black",https://www.amazon.com/Mpow-Upgraded-Bluetooth-Headphones-Cancelling/dp/B07RM4ZGH4/ref=sr_1_43?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-43,4.3 out of 5 stars,"17,152",$29.99
41,"PowerLocus Bluetooth Over-Ear Headphones, Wireless Stereo Foldable Headphones Wireless and Wired Headsets with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Black/Orange)",https://www.amazon.com/PowerLocus-Bluetooth-Over-Ear-Headphones-Wireless/dp/B07D3NCH22/ref=sr_1_44?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-44,4.4 out of 5 stars,"9,935",$24.99
42,"noot products NP11 Wireless Bluetooth Earbuds Headphones with Mic, Volume & Remote Control IPX7 Sweatproof in-Ear for Sports, Running, Gym",https://www.amazon.com/noot-products-NP11-Headphones-Waterproof/dp/B07SRVYKDF/ref=sr_1_45?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-45,4.4 out of 5 stars,"1,263",$14.19
43,"A12 Headphones Earphones Earbuds Earphones, Noise Islating, High Definition, Fits All 3.5mm InterfaceStereo for Samsung, iPhone,iPad, iPod and Mp3 Players(Black+White+Pink+Green 4pairs)",https://www.amazon.com/Headphones-Earphones-Islating-Definition-Players%EF%BC%88Black/dp/B07TGTSKSH/ref=sr_1_46?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-46,4.0 out of 5 stars,885,$10.99
44,Bose SoundLink Around Ear Wireless Headphones II - Black,https://www.amazon.com/Auriculares-inal%C3%A1mbricos-externos-SoundLink-negro/dp/B0117RGG8E/ref=sr_1_47?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-47,4.5 out of 5 stars,"9,356",$229.00
45,"BENGOO G9000 Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games",https://www.amazon.com/BENGOO-G9000-Controller-Cancelling-Headphones/dp/B01H6GUCCQ/ref=sr_1_48?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-48,4.3 out of 5 stars,"20,556",$39.89
46,"LETSCOM Bluetooth Headphones, 100 Hours Playtime Bluetooth 5.0 Headphones Over Ear with Deep Bass, Hi-Fi Sound and Soft Earpads, Built-in Mic, Wired/Wireless Headset for Home Office-Red Purple",https://www.amazon.com/LETSCOM-Bluetooth-Headphones-Playtime-Office-Red/dp/B086GPHS71/ref=sr_1_49?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-49,4.4 out of 5 stars,"6,095",$27.00
47,Sony MDR7506 Professional Large Diaphragm Headphone,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E/ref=sr_1_50?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-50,4.7 out of 5 stars,"8,329",$94.99
48,"Mpow CH8 Kids Headphones with Microphone (2-Pack), Wired On-Ear Headsets with Safe Volume Limited 91dB, Foldable Durable Earphones w/Audio Splitter for Boys/Girls/Toddlers/Children/School/Travel/Plane",https://www.amazon.com/Mpow-CH8-Auriculares-micr%C3%B3fono-ni%C3%B1os/dp/B07RSJX4KW/ref=sr_1_51?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&smid=A1E57UY6AMKO25&sr=1-51,4.7 out of 5 stars,686,$22.94
49,"Mpow FLAME2 Bluetooth Headphones Sport, 12Hrs & Bluetooth 5.0 Wireless Sport Earphones, IPX7 Waterproof Bluetooth Headset W/CVC 6.0 Noise Cancelling Mic, Bluetooth Earphones w/Comfort-Slanting, Black",https://www.amazon.com/Mpow-Headphones-Waterproof-Cancelling-Comfort-Slanting/dp/B07S7J1CGK/ref=sr_1_52?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-52,4.4 out of 5 stars,"9,137",$23.99
50,"Bluetooth Headphones, Riwbox XBT-880 Wireless Bluetooth Headphones Over Ear with Microphone and Volume Control Wireless and Wired Foldable Headset for iPhone/iPad/PC/Cell Phones/TV (Black&Gold)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg2_1?ie=UTF8&adId=A02189481FJ98HHMPBM9S&url=%2FBluetooth-Headphones-Riwbox-Wireless-Microphone%2Fdp%2FB07HD23XGD%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-53-spons%26psc%3D1&qualifier=1594136413&id=7180028317567379&widgetName=sp_btf,4.2 out of 5 stars,"1,007",$32.98
51,"Bluetooth Headphones Wireless,Tuinyo Over Ear Stereo Wireless Headset 35H Playtime with deep bass, Soft Memory-Protein Earmuffs, Built-in Mic Wired Mode PC/Cell Phones/TV-Black/Blue …",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg2_1?ie=UTF8&adId=A100308432X0Y091T9WO2&url=%2FBluetooth-Headphones-Wireless-Playtime-Memory-Protein%2Fdp%2FB086G9M5RF%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-54-spons%26psc%3D1&qualifier=1594136413&id=7180028317567379&widgetName=sp_btf,4.5 out of 5 stars,535,$26.99
